,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,Tipo,SaldoFinal
Cajero_302,24252.29720474819,363307.868055888,338985.0851692597,26963.60727340811,13534.658594161485,345122.5092882696,189094.23658993427,A,386490.0
Cajero_303,23463.923096792623,348147.57502644643,327965.63155320246,26087.09608554111,13094.68483392049,333903.5452413398,182947.3137301096,A,276150.0
Cajero_304,26974.442562394022,352697.3267582299,330342.2875744909,24285.168833672247,12892.282680148392,320048.02894349623,180119.53048863183,A,387010.0
Cajero_305,23043.957648221563,340200.6733508136,328606.23896644067,25620.18017534627,12860.311614766622,324899.240427194,179672.85914045753,A,305510.0
Cajero_306,23333.04224642613,347862.00585268816,332728.57784630137,25941.583278275957,13021.643191255926,328975.07530806185,181926.8407301561,A,447680.0
Cajero_307,23161.176891183364,329687.88099947874,328883.62973009155,25750.504062004293,12925.729023301572,326551.92715675314,180586.8131083799,A,185290.0
Cajero_308,22884.43019003401,340262.8456510873,326331.3815462382,25442.81818379637,12771.2829481321,322650.04561510327,178429.0296315893,A,500680.0
Cajero_309,23085.82231061433,344176.31318346766,329203.22796739684,25666.72513996807,12883.675336061238,325489.4948105681,179999.27631687684,A,489710.0
Cajero_310,23459.07650758904,351418.2500869456,332101.5986903798,26081.70766700089,13091.980062093604,331508.5807438245,182909.5250588848,A,443020.0
Cajero_311,24763.92435887178,375970.4057658949,350573.8542933878,27532.432302135658,13820.186138216546,349947.85132318566,193083.3740028116,A,335230.0
Cajero_312,23615.07641023688,351888.2064925158,335731.5068831674,26255.147736375548,13179.040079758552,333713.07103167666,184125.85035171203,A,385400.0
Cajero_313,23343.61893830475,350623.7913130305,330467.1079495438,25953.342402109018,13027.545803797088,329877.00863495714,182009.30679345515,A,263240.0
Cajero_314,22751.34748836449,341727.8072835894,322082.5368296961,25294.857367037184,12697.0125020511,321507.4094428805,177391.38888098046,A,407020.0
Cajero_315,22633.2437594844,338158.9221829876,321772.95982543554,25163.55011246402,12631.10148192817,319838.4435085681,176470.53861007775,A,439180.0
Cajero_316,23903.720204066813,358320.78398400114,339406.9496244083,26576.060754760176,13340.125653295348,337791.9994755188,186376.39500650897,A,246210.0
Cajero_317,23166.02437824164,346119.0944726284,329347.41086112964,25755.89347877577,12928.434296200854,327367.35653781256,180624.6087801435,A,568820.0
Cajero_318,22549.074206958467,338689.6397657188,319219.02768407576,25069.970739775017,12584.128358192957,318649.0135286332,175814.27181833272,A,497540.0
Cajero_319,23313.21169662661,349468.9621952238,331022.36808117875,25919.535752126336,13010.576209888965,329447.3130529596,181772.222689488,A,416390.0
Cajero_320,23852.160928767076,357306.6762311776,337666.35161879443,26518.73735818678,13311.351587785062,337063.3969589932,185974.38930289977,A,465520.0
